579,EXP083,2016/07/24T12:53:05,Purchase
604,EXP043,2016/07/28T04:58:41,Purchase
3447,EXP002,2016/07/29T18:02:33,Purchase
301,EXP061,2016/07/27T05:09:45,Purchase
1869,EXP033,2016/07/24T06:20:03,Purchase
1138,EXP093,2016/07/28T00:53:47,Purchase
833,EXP032,2016/07/28T19:15:51,Purchase
1481,EXP052,2016/07/26T00:56:37,Purchase
2583,EXP042,2016/07/28T14:09:08,Purchase
3276,EXP043,2016/07/25T16:52:17,Purchase
2506,EXP053,2016/07/22T05:10:35,Purchase
3244,EXP067,2016/07/25T14:56:24,Purchase
3654,EXP074,2016/07/26T18:25:48,Purchase
3506,EXP005,2016/07/20T05:47:44,Purchase
2329,EXP089,2016/07/22T01:02:00,Purchase
2238,EXP092,2016/07/28T21:52:24,Purchase
2221,EXP047,2016/07/22T10:06:44,Purchase
3302,EXP039,2016/07/28T09:37:04,Purchase
760,EXP083,2016/07/24T20:56:03,Purchase
2638,EXP026,2016/07/21T10:34:46,Purchase
3691,EXP012,2016/07/22T22:45:15,Purchase
2667,EXP050,2016/07/25T22:03:32,Purchase
398,EXP023,2016/07/29T06:10:12,Purchase
2124,EXP068,2016/07/29T12:45:38,Purchase
1031,EXP002,2016/07/29T00:50:48,Purchase
1480,EXP066,2016/07/22T16:13:23,Purchase
1023,EXP035,2016/07/22T19:52:21,Purchase
3469,EXP039,2016/07/28T13:20:07,Purchase
606,EXP026,2016/07/24T16:18:37,Purchase
1051,EXP065,2016/07/23T09:12:23,Purchase
2059,EXP093,2016/07/21T19:44:49,Purchase
396,EXP036,2016/07/23T03:49:11,Purchase
2612,EXP088,2016/07/24T21:40:51,Purchase
1796,EXP053,2016/07/20T12:53:35,Purchase
1176,EXP018,2016/07/27T05:29:00,Purchase
2014,EXP005,2016/07/20T22:50:28,Purchase
3542,EXP008,2016/07/22T23:07:35,Purchase
1123,EXP017,2016/07/29T05:57:40,Purchase
3750,EXP070,2016/07/27T02:34:33,Purchase
150,EXP021,2016/07/29T15:16:54,Purchase
1771,EXP010,2016/07/20T13:02:28,Purchase
1907,EXP014,2016/07/29T09:00:12,Purchase
192,EXP014,2016/07/27T14:02:05,Purchase
2385,EXP032,2016/07/21T23:39:30,Purchase
215,EXP058,2016/07/24T14:24:15,Purchase
233,EXP040,2016/07/25T09:05:08,Purchase
2657,EXP032,2016/07/24T20:37:14,Purchase
